rank,title_id,title,players,percentage,release_date
20,1791650399,MLB® The Show™ 26,6137,1.7712,2026-03-16
26,1754076455,Crimson Desert,4954,1.4298,2026-03-18
57,1743309413,Super Meat Boy 3D,2287,0.66,2026-03-31
78,2022801826,WWE 2K26 Standard Edition,1850,0.5339,2026-03-13
115,2075317023,Absolum,1298,0.3746,2026-03-25
161,2078275456,Content Warning,938,0.2707,2026-04-01
219,1813184195,Easy Delivery Co.,614,0.1772,2026-03-26
272,1635275279,ICARUS: Console Edition,446,0.1287,2026-03-26
288,1679434571,John Carpenter's Toxic Commando,417,0.1203,2026-03-12
465,1699829016,Monster Hunter Stories 3: Twisted Reflection,191,0.0551,2026-03-13
469,1892502964,Hades II,190,0.0548,2026-04-14
492,1764318423,Call of Duty®: Vanguard,181,0.0522,2026-04-15
499,2029650168,Overthrown,177,0.0511,2026-03-18
768,1668054382,Tiny Bookshop,87,0.0251,2026-04-10
845,1714660110,Microsoft Bubble,72,0.0208,2026-03-23
863,1768031432,Car Dealer Simulator,69,0.0199,2026-03-19
958,1767994732,Dragonkin: The Banished,55,0.0159,2026-03-19
1071,1744612607,Nova Roma (Game Preview),43,0.0124,2026-03-26
1077,2058227981,Thomas & Friends™: Wonders of Sodor,43,0.0124,2026-03-17
1102,1884916396,MARVEL MaXimum Collection,40,0.0115,2026-03-27
1139,2119970550,The Bus,38,0.011,2026-03-26
1219,2055678343,Screamer,32,0.0092,2026-03-26
1311,1806655067,RollerCoaster Tycoon Classic,28,0.0081,2026-03-27
1323,1812810851,Haste,27,0.0078,2026-04-01
1383,1836942975,Grind Survivors,24,0.0069,2026-03-16
1420,2094503132,Darwin's Paradox!,22,0.0063,2026-04-02
1472,1680223788,FATAL FRAME II: Crimson Butterfly REMAKE,20,0.0058,2026-03-12
1477,2021447825,Hole Digging Master,20,0.0058,2026-03-26
1493,1813336489,Starship Troopers: Ultimate Bug War!,20,0.0058,2026-03-16
1494,1780525037,Sunset Motel,20,0.0058,2026-04-02
1567,2099448535,Mega Man Star Force Legacy Collection,17,0.0049,2026-03-27
1647,1823111797,GreedFall: The Dying World,15,0.0043,2026-03-12
1775,2070449681,Casual Sport Series: Boxing,12,0.0035,2026-03-27
1786,1923234340,GRIME II,12,0.0035,2026-03-31
1868,1620604447,Only Up Rush,11,0.0032,2026-03-20
1927,1947658323,Easter Bunny EggVenture,10,0.0029,2026-04-03
1945,1672818847,Legacy of Kain: Ascendance,10,0.0029,2026-03-31
2044,2087135005,Royal Revolt Survivors,9,0.0026,2026-03-16
2211,2076671886,Easter Bunny EggVenture (Xbox One),7,0.002,2026-04-03
2316,2129250549,Clean Up Earth,6,0.0017,2026-04-02
2332,1733486308,Dread Delusion,6,0.0017,2026-03-17
2616,1733938741,The Coin Game,5,0.0014,2026-03-19
2631,2078938412,Unmourned,5,0.0014,2026-03-27
2654,1892031884,Airplane Flight Simulator : Combat Zone,4,0.0012,2026-03-25
2694,1888408660,Devil Jam,4,0.0012,2026-03-26
2712,2110898857,Ghost Master: Resurrection,4,0.0012,2026-03-19
2726,1761239368,Juufuutei Raden™'s Guide for Pixel Museum,4,0.0012,2026-04-01
2748,2098595996,Meow Moments: Celebrating Myth & Machine,4,0.0012,2026-03-25
2836,1978376107,The Occultist,4,0.0012,2026-04-08
2923,1672675093,Chicken Rescue,3,0.0009,2026-03-27
2960,1649708833,Dragon Snack: From Ice to Ember,3,0.0009,2026-04-07
3005,1618632140,Hacked: The Streamer,3,0.0009,2026-04-06
3020,1700671760,Hoof and Seek,3,0.0009,2026-03-20
3051,1920884746,Little Helper Cafe: Sugar Cubes,3,0.0009,2026-04-09
3057,2012446698,Machine Gun Fury,3,0.0009,2026-03-20
3087,1970680323,Nordic Ashes: The Complete Saga,3,0.0009,2026-03-13
3097,1715204609,People of Note,3,0.0009,2026-04-07
3127,1788292351,RUSHING BEAT X: Return Of Brawl Brothers,3,0.0009,2026-03-19
3164,2133854210,The Boba Teashop,3,0.0009,2026-03-26
3178,1697703336,To Farm Lands: Sowing Fields,3,0.0009,2026-04-03
3202,1781754560,Worshippers of Cthulhu,3,0.0009,2026-03-27
3208,1672988244,Xray Customs,3,0.0009,2026-03-20
